data,country,index
Tonga: 0.3841143835488627,Tonga,0.38
Vanuatu: 0.3834824944236852,Vanuatu,0.38
Mexico: 0.38247315498700596,Mexico,0.38
Armenia: 0.3742669603047504,Armenia,0.37
Brunei: 0.3738362223310638,Brunei,0.37
Venezuela: 0.37250700381322804,Venezuela,0.37
South Africa: 0.36244121780453775,South Africa,0.36
Jordan: 0.34641016151377546,Jordan,0.35
Botswana: 0.3456966485800899,Botswana,0.35
eSwatini: 0.3416666666666666,eSwatini,0.34
Ghana: 0.3412500738508723,Ghana,0.34
Qatar: 0.33975387018795283,Qatar,0.34
New Zealand: 0.3388888888888889,New Zealand,0.34
Lesotho: 0.3370179239759824,Lesotho,0.34
Benin: 0.33498226035731854,Benin,0.33
Oman: 0.32979494520436925,Oman,0.33
Namibia: 0.31888891615274184,Namibia,0.32
Belarus: 0.31026734082853474,Belarus,0.31
Canada: 0.295357452664937,Canada,0.3
Guyana: 0.27941418925427985,Guyana,0.28
Tunisia: 0.27439773622801417,Tunisia,0.27
Nigeria: 0.27277236279499045,Nigeria,0.27
Uganda: 0.26982036673133164,Uganda,0.27
Thailand: 0.2687936011143123,Thailand,0.27
Dominican Republic: 0.2685380346549405,Dominican Republic,0.27
Kazakhstan: 0.2595542738092201,Kazakhstan,0.26
Indonesia: 0.2595542738092201,Indonesia,0.26
United States: 0.25077519565890877,United States,0.25
Ethiopia: 0.24244128727957576,Ethiopia,0.24
Egypt: 0.2331086069657434,Egypt,0.23
Mali: 0.2309401076758503,Mali,0.23
Burkina Faso: 0.22283440581246222,Burkina Faso,0.22
Angola: 0.21783245945486834,Angola,0.22
Uzbekistan: 0.21728579050204447,Uzbekistan,0.22
Cote d'Ivoire: 0.2154147366637896,Cote d'Ivoire,0.22
Saudi Arabia: 0.21475019687726374,Saudi Arabia,0.21
Mongolia: 0.20654609733079113,Mongolia,0.21
Morocco: 0.19578900207451216,Morocco,0.2
Lebanon: 0.19409899176618914,Lebanon,0.19
Tajikistan: 0.1933206697586479,Tajikistan,0.19
Australia: 0.1888888888888889,Australia,0.19
Guinea: 0.1873171623163388,Guinea,0.19
Niger: 0.18115789195666254,Niger,0.18
Kyrgyzstan: 0.1781741612749496,Kyrgyzstan,0.18
China: 0.1649915822768611,China,0.16
Bahrain: 0.1592005891515697,Bahrain,0.16
Azerbaijan: 0.14367622330384783,Azerbaijan,0.14
Liberia: 0.1414213562373095,Liberia,0.14
Kuwait: 0.1357142857142857,Kuwait,0.14
Cuba: 0.13470397652008118,Cuba,0.13
Chad: 0.12626716210644434,Chad,0.13
Nauru: 0.12009611535381536,Nauru,0.12
Vietnam: 0.1165543034828717,Vietnam,0.12
Pakistan: 0.11430011430017145,Pakistan,0.11
Congo (Rep.): 0.11,Congo (Rep.),0.11
Central African Republic: 0.10684144485929906,Central African Republic,0.11
Myanmar: 0.10660035817780522,Myanmar,0.11
Palestinian Territories: 0.1032370802417528,Palestinian Territories,0.1
Papua New Guinea: 0.09931270663228416,Papua New Guinea,0.1
Congo (Dem. Rep.): 0.07378647873726218,Congo (Dem. Rep.),0.07
Gabon: 0.07364596943186587,Gabon,0.07
Syria: 0.06804138174397717,Syria,0.07
South Sudan: 0.06396021490668313,South Sudan,0.06
Cameroon: 0.06,Cameroon,0.06
Algeria: 0.057735026918962574,Algeria,0.06
Sao Tome and Principe: 0.046028730894916166,Sao Tome and Principe,0.05
Sudan: 0.03234983196103152,Sudan,0.03
Bhutan: 0.029138575870717925,Bhutan,0.03
India: 0.027854300726557778,India,0.03
Iraq: 0.02626128657194451,Iraq,0.03
Yemen: 0.024618298195866545,Yemen,0.02
Eritrea: 0.02208630521496931,Eritrea,0.02
Equatorial Guinea: 0.01889822365046136,Equatorial Guinea,0.02
Libya: 0.011470786693528088,Libya,0.01
North Korea: 0.0,North Korea,0
Turkmenistan: 0.0,Turkmenistan,0
Afghanistan: 0.0,Afghanistan,0
French guiana: 0.5104038089520602,French guiana,0.51
