Problem,10-score,9-score,8-score,7-score,6-score,5-score,4-score,3-score,2-score,1-score,0-score,Blank,Participants,Total_participants,>10,>9,>8,>7,>6,>5,>4,>3,>2,>1,>0,Median
B3-2003,97,35,20,0,0,0,0,0,10,5,12,22,179,201,0.54,0.74,0.85,0.85,0.85,0.85,0.85,0.85,0.91,0.93,1.00,10
B4-2003,120,12,11,0,0,0,0,0,5,2,16,35,166,201,0.72,0.80,0.86,0.86,0.86,0.86,0.86,0.86,0.89,0.90,1.00,10
B5-2003,31,6,19,0,0,0,0,0,15,0,36,94,107,201,0.29,0.35,0.52,0.52,0.52,0.52,0.52,0.52,0.66,0.66,1.00,8
B6-2003,10,0,0,0,0,0,0,0,1,9,40,132,60,192,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.18,0.33,1.00,0
A1-2004,139,3,26,0,0,0,0,0,7,0,20,1,195,196,0.71,0.73,0.86,0.86,0.86,0.86,0.86,0.86,0.90,0.90,1.00,10
A2-2004,64,10,11,0,0,0,0,0,7,1,83,20,176,196,0.36,0.42,0.48,0.48,0.48,0.48,0.48,0.48,0.52,0.53,1.00,2
A3-2004,148,13,4,0,0,0,0,0,2,9,8,12,184,196,0.80,0.88,0.90,0.90,0.90,0.90,0.90,0.90,0.91,0.96,1.00,10
A4-2004,23,6,8,0,0,0,0,0,15,13,69,62,134,196,0.17,0.22,0.28,0.28,0.28,0.28,0.28,0.28,0.39,0.49,1.00,0
A5-2004,14,0,2,0,0,0,0,0,0,0,55,125,71,196,0.20,0.20,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,1.00,0
A6-2004,7,3,4,0,0,0,0,0,1,0,49,132,64,196,0.11,0.16,0.22,0.22,0.22,0.22,0.22,0.22,0.23,0.23,1.00,0
B1-2004,156,3,2,0,0,0,0,0,2,3,27,3,193,196,0.81,0.82,0.83,0.83,0.83,0.83,0.83,0.83,0.84,0.86,1.00,10
B2-2004,56,41,39,0,0,0,0,0,22,0,28,10,186,196,0.30,0.52,0.73,0.73,0.73,0.73,0.73,0.73,0.85,0.85,1.00,9
B3-2004,79,10,1,0,0,0,0,0,3,44,35,24,172,196,0.46,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.54,0.80,1.00,9
B4-2004,92,42,10,0,0,0,0,0,8,9,19,16,180,196,0.51,0.74,0.80,0.80,0.80,0.80,0.80,0.80,0.84,0.89,1.00,10
B5-2004,16,3,1,0,0,0,0,0,3,12,62,99,97,196,0.16,0.20,0.21,0.21,0.21,0.21,0.21,0.21,0.24,0.36,1.00,0
B6-2004,4,1,0,0,0,0,0,0,1,1,58,131,65,196,0.06,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.09,0.11,1.00,0
A1-2005,132,17,6,0,0,0,0,0,10,4,16,11,185,196,0.71,0.81,0.84,0.84,0.84,0.84,0.84,0.84,0.89,0.91,1.00,10
A2-2005,85,44,13,0,0,0,0,0,24,5,12,13,183,196,0.46,0.70,0.78,0.78,0.78,0.78,0.78,0.78,0.91,0.93,1.00,9
A3-2005,14,2,5,0,0,0,0,0,6,4,86,79,117,196,0.12,0.14,0.18,0.18,0.18,0.18,0.18,0.18,0.23,0.26,1.00,0
A4-2005,20,0,7,0,0,0,0,0,3,0,55,111,85,196,0.24,0.24,0.32,0.32,0.32,0.32,0.32,0.32,0.35,0.35,1.00,0
A5-2005,10,10,0,0,0,0,0,0,2,2,40,132,64,196,0.16,0.31,0.31,0.31,0.31,0.31,0.31,0.31,0.34,0.38,1.00,0
A6-2005,5,0,2,0,0,0,0,0,3,0,65,121,75,196,0.07,0.07,0.09,0.09,0.09,0.09,0.09,0.09,0.13,0.13,1.00,0
B1-2005,155,9,22,0,0,0,0,0,7,0,3,0,196,196,0.79,0.84,0.95,0.95,0.95,0.95,0.95,0.95,0.98,0.98,1.00,10
B2-2005,148,11,4,0,0,0,0,0,9,1,13,10,186,196,0.80,0.85,0.88,0.88,0.88,0.88,0.88,0.88,0.92,0.93,1.00,10
B3-2005,23,34,8,0,0,0,0,0,2,8,75,46,150,196,0.15,0.38,0.43,0.43,0.43,0.43,0.43,0.43,0.45,0.50,1.00,1
B4-2005,97,15,12,0,0,0,0,0,13,12,27,20,176,196,0.55,0.64,0.70,0.70,0.70,0.70,0.70,0.70,0.78,0.85,1.00,10
B5-2005,4,0,1,0,0,0,0,0,0,0,54,137,59,196,0.07,0.07,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,1.00,0
B6-2005,18,0,1,0,0,0,0,0,2,1,41,133,63,196,0.29,0.29,0.30,0.30,0.30,0.30,0.30,0.30,0.33,0.35,1.00,0
A1-2006,129,3,11,0,0,0,0,0,6,2,47,0,198,198,0.65,0.67,0.72,0.72,0.72,0.72,0.72,0.72,0.75,0.76,1.00,10
A2-2006,96,37,30,0,0,0,0,0,4,4,27,0,198,198,0.48,0.67,0.82,0.82,0.82,0.82,0.82,0.82,0.84,0.86,1.00,9
A3-2006,63,17,13,0,0,0,0,0,6,0,39,60,138,198,0.46,0.58,0.67,0.67,0.67,0.67,0.67,0.67,0.72,0.72,1.00,9
A4-2006,112,17,0,0,0,0,0,0,3,6,32,28,170,198,0.66,0.76,0.76,0.76,0.76,0.76,0.76,0.76,0.78,0.81,1.00,10
A5-2006,16,3,3,0,0,0,0,0,5,5,46,120,78,198,0.21,0.24,0.28,0.28,0.28,0.28,0.28,0.28,0.35,0.41,1.00,0
A6-2006,1,0,0,0,0,0,0,0,0,2,58,137,61,198,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.05,1.00,0
B1-2006,52,13,54,0,0,0,0,0,4,2,30,43,155,198,0.34,0.42,0.77,0.77,0.77,0.77,0.77,0.77,0.79,0.81,1.00,8
B2-2006,123,28,16,0,0,0,0,0,3,0,13,15,183,198,0.67,0.83,0.91,0.91,0.91,0.91,0.91,0.91,0.93,0.93,1.00,10
B3-2006,15,12,23,0,0,0,0,0,54,25,33,36,162,198,0.09,0.17,0.31,0.31,0.31,0.31,0.31,0.31,0.64,0.80,1.00,2
B4-2006,22,7,4,0,0,0,0,0,9,17,91,48,150,198,0.15,0.19,0.22,0.22,0.22,0.22,0.22,0.22,0.28,0.39,1.00,0
B5-2006,93,17,6,0,0,0,0,0,6,1,15,60,138,198,0.67,0.80,0.84,0.84,0.84,0.84,0.84,0.84,0.88,0.89,1.00,10
B6-2006,6,2,0,0,0,0,0,0,7,5,42,136,62,198,0.10,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.24,0.32,1.00,0
A1-2007,29,6,30,0,0,0,0,0,96,12,23,10,196,206,0.15,0.18,0.33,0.33,0.33,0.33,0.33,0.33,0.82,0.88,1.00,2
A2-2007,106,33,12,0,0,0,0,0,16,7,17,15,191,206,0.55,0.73,0.79,0.79,0.79,0.79,0.79,0.79,0.87,0.91,1.00,10
A3-2007,126,0,0,0,0,0,0,0,49,6,9,16,190,206,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.66,0.92,0.95,1.00,10
A4-2007,12,19,14,0,0,0,0,0,10,2,91,58,148,206,0.08,0.21,0.30,0.30,0.30,0.30,0.30,0.30,0.37,0.39,1.00,0
A5-2007,7,5,2,0,0,0,0,0,6,7,91,88,118,206,0.06,0.10,0.12,0.12,0.12,0.12,0.12,0.12,0.17,0.23,1.00,0
A6-2007,3,0,0,0,0,0,0,0,0,4,69,130,76,206,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.09,1.00,0
B1-2007,189,10,3,0,0,0,0,0,3,0,0,1,205,206,0.92,0.97,0.99,0.99,0.99,0.99,0.99,0.99,1.00,1.00,1.00,10
B2-2007,80,11,9,0,0,0,0,0,27,21,34,24,182,206,0.44,0.50,0.55,0.55,0.55,0.55,0.55,0.55,0.70,0.81,1.00,9
B3-2007,65,12,10,0,0,0,0,0,10,10,29,70,136,206,0.48,0.57,0.64,0.64,0.64,0.64,0.64,0.64,0.71,0.79,1.00,9
B4-2007,45,10,4,0,0,0,0,0,2,5,75,65,141,206,0.32,0.39,0.42,0.42,0.42,0.42,0.42,0.42,0.43,0.47,1.00,0
B5-2007,39,3,6,0,0,0,0,0,4,2,28,124,82,206,0.48,0.51,0.59,0.59,0.59,0.59,0.59,0.59,0.63,0.66,1.00,9
B6-2007,2,2,0,0,0,0,0,0,1,2,28,171,35,206,0.06,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.14,0.20,1.00,0
A1-2008,177,5,4,0,0,0,0,0,0,3,0,0,189,189,0.94,0.96,0.98,0.98,0.98,0.98,0.98,0.98,0.98,1.00,1.00,10
A2-2008,136,14,10,0,0,0,0,0,0,0,14,15,174,189,0.78,0.86,0.92,0.92,0.92,0.92,0.92,0.92,0.92,0.92,1.00,10
A3-2008,67,25,47,0,0,0,0,0,32,3,10,5,184,189,0.36,0.50,0.76,0.76,0.76,0.76,0.76,0.76,0.93,0.95,1.00,9
A4-2008,74,29,13,0,0,0,0,0,5,2,34,32,157,189,0.47,0.66,0.74,0.74,0.74,0.74,0.74,0.74,0.77,0.78,1.00,9
A5-2008,32,9,13,0,0,0,0,0,6,5,71,53,136,189,0.24,0.30,0.40,0.40,0.40,0.40,0.40,0.40,0.44,0.48,1.00,0
A6-2008,11,5,2,0,0,0,0,0,7,13,26,125,64,189,0.17,0.25,0.28,0.28,0.28,0.28,0.28,0.28,0.39,0.59,1.00,1
B1-2008,118,2,44,0,0,0,0,0,0,0,19,6,183,189,0.64,0.66,0.90,0.90,0.90,0.90,0.90,0.90,0.90,0.90,1.00,10
B2-2008,83,17,6,0,0,0,0,0,45,4,15,19,170,189,0.49,0.59,0.62,0.62,0.62,0.62,0.62,0.62,0.89,0.91,1.00,9
B3-2008,19,7,3,0,0,0,0,0,16,5,54,85,104,189,0.18,0.25,0.28,0.28,0.28,0.28,0.28,0.28,0.43,0.48,1.00,0
B4-2008,81,17,7,0,0,0,0,0,16,5,23,40,149,189,0.54,0.66,0.70,0.70,0.70,0.70,0.70,0.70,0.81,0.85,1.00,10
B5-2008,17,25,8,0,0,0,0,0,6,6,65,62,127,189,0.13,0.33,0.39,0.39,0.39,0.39,0.39,0.39,0.44,0.49,1.00,0
B6-2008,12,3,0,0,0,0,0,0,4,4,32,134,55,189,0.22,0.27,0.27,0.27,0.27,0.27,0.27,0.27,0.35,0.42,1.00,0
A1-2009,193,4,2,0,0,0,0,0,0,0,1,0,200,200,0.97,0.99,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,10
A2-2009,84,22,24,0,0,0,0,0,6,8,40,16,184,200,0.46,0.58,0.71,0.71,0.71,0.71,0.71,0.71,0.74,0.78,1.00,9
A3-2009,81,6,6,0,0,0,0,0,6,2,39,60,140,200,0.58,0.62,0.66,0.66,0.66,0.66,0.66,0.66,0.71,0.72,1.00,10
A4-2009,49,27,23,0,0,0,0,0,6,11,54,30,170,200,0.29,0.45,0.58,0.58,0.58,0.58,0.58,0.58,0.62,0.68,1.00,8
A5-2009,26,5,1,0,0,0,0,0,6,6,70,86,114,200,0.23,0.27,0.28,0.28,0.28,0.28,0.28,0.28,0.33,0.39,1.00,0
A6-2009,5,2,1,0,0,0,0,0,0,0,53,139,61,200,0.08,0.11,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.13,1.00,0
B1-2009,142,33,15,0,0,0,0,0,3,2,5,0,200,200,0.71,0.88,0.95,0.95,0.95,0.95,0.95,0.95,0.97,0.98,1.00,10
B2-2009,62,3,0,0,0,0,0,0,63,13,49,10,190,200,0.33,0.34,0.34,0.34,0.34,0.34,0.34,0.34,0.67,0.74,1.00,2
B3-2009,105,22,9,0,0,0,0,0,6,4,26,28,172,200,0.61,0.74,0.79,0.79,0.79,0.79,0.79,0.79,0.83,0.85,1.00,10
B4-2009,56,13,3,0,0,0,0,0,1,7,59,61,139,200,0.40,0.50,0.52,0.52,0.52,0.52,0.52,0.52,0.53,0.58,1.00,8
B5-2009,7,4,3,0,0,0,0,0,1,6,84,95,105,200,0.07,0.10,0.13,0.13,0.13,0.13,0.13,0.13,0.14,0.20,1.00,0
B6-2009,2,0,3,0,0,0,0,0,1,0,47,147,53,200,0.04,0.04,0.09,0.09,0.09,0.09,0.09,0.09,0.11,0.11,1.00,0
A1-2010,181,0,0,0,0,0,0,0,0,0,7,0,188,188,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.00,10
A2-2010,103,42,26,0,0,0,0,0,6,2,7,2,186,188,0.55,0.78,0.92,0.92,0.92,0.92,0.92,0.92,0.95,0.96,1.00,10
A3-2010,30,43,6,0,0,0,0,0,5,0,56,48,140,188,0.21,0.52,0.56,0.56,0.56,0.56,0.56,0.56,0.60,0.60,1.00,9
A4-2010,90,29,1,0,0,0,0,0,2,2,25,39,149,188,0.60,0.80,0.81,0.81,0.81,0.81,0.81,0.81,0.82,0.83,1.00,10
A5-2010,26,9,4,0,0,0,0,0,63,4,38,44,144,188,0.18,0.24,0.27,0.27,0.27,0.27,0.27,0.27,0.71,0.74,1.00,2
A6-2010,12,1,4,0,0,0,0,0,2,5,44,120,68,188,0.18,0.19,0.25,0.25,0.25,0.25,0.25,0.25,0.28,0.35,1.00,0
B1-2010,144,24,5,0,0,0,0,0,2,4,8,1,187,188,0.77,0.90,0.93,0.93,0.93,0.93,0.93,0.93,0.94,0.96,1.00,10
B2-2010,133,5,31,0,0,0,0,0,10,2,4,3,185,188,0.72,0.75,0.91,0.91,0.91,0.91,0.91,0.91,0.97,0.98,1.00,10
B3-2010,152,0,0,0,0,0,0,0,0,0,32,4,184,188,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,0.83,1.00,10
B4-2010,37,8,3,0,0,0,0,0,3,3,78,56,132,188,0.28,0.34,0.36,0.36,0.36,0.36,0.36,0.36,0.39,0.41,1.00,0
B5-2010,11,9,17,0,0,0,0,0,2,3,63,83,105,188,0.10,0.19,0.35,0.35,0.35,0.35,0.35,0.35,0.37,0.40,1.00,0
B6-2010,24,4,7,0,0,0,0,0,1,7,28,117,71,188,0.34,0.39,0.49,0.49,0.49,0.49,0.49,0.49,0.51,0.61,1.00,2
A1-2011,90,11,11,0,0,0,0,0,25,5,54,1,196,197,0.46,0.52,0.57,0.57,0.57,0.57,0.57,0.57,0.70,0.72,1.00,9
A2-2011,87,21,9,0,0,0,0,0,40,10,15,15,182,197,0.48,0.59,0.64,0.64,0.64,0.64,0.64,0.64,0.86,0.92,1.00,9
A3-2011,12,0,3,0,0,0,0,0,24,12,48,98,99,197,0.12,0.12,0.15,0.15,0.15,0.15,0.15,0.15,0.39,0.52,1.00,1
A4-2011,37,8,5,0,0,0,0,0,6,103,12,26,171,197,0.22,0.26,0.29,0.29,0.29,0.29,0.29,0.29,0.33,0.93,1.00,1
A5-2011,1,0,0,0,0,0,0,0,0,0,15,181,16,197,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.06,1.00,0
A6-2011,1,1,1,0,0,0,0,0,6,2,8,178,19,197,0.05,0.11,0.16,0.16,0.16,0.16,0.16,0.16,0.47,0.58,1.00,1
B1-2011,105,8,12,0,0,0,0,0,9,9,48,6,191,197,0.55,0.59,0.65,0.65,0.65,0.65,0.65,0.65,0.70,0.75,1.00,10
B2-2011,141,7,14,0,0,0,0,0,6,15,12,2,195,197,0.72,0.76,0.83,0.83,0.83,0.83,0.83,0.83,0.86,0.94,1.00,10
B3-2011,65,13,3,0,0,0,0,0,22,19,45,30,167,197,0.39,0.47,0.49,0.49,0.49,0.49,0.49,0.49,0.62,0.73,1.00,2
B4-2011,3,1,2,0,0,0,0,0,15,20,54,102,95,197,0.03,0.04,0.06,0.06,0.06,0.06,0.06,0.06,0.22,0.43,1.00,0
B5-2011,12,3,2,0,0,0,0,0,2,1,32,145,52,197,0.23,0.29,0.33,0.33,0.33,0.33,0.33,0.33,0.37,0.38,1.00,0
B6-2011,0,0,0,0,0,0,0,0,0,0,38,159,38,197,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0
A1-2012,142,28,14,0,0,0,0,0,2,0,1,2,187,189,0.76,0.91,0.98,0.98,0.98,0.98,0.98,0.98,0.99,0.99,1.00,10
A2-2012,151,21,8,0,0,0,0,0,0,0,7,2,187,189,0.81,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,1.00,10
A3-2012,49,31,13,0,0,0,0,0,16,11,25,44,145,189,0.34,0.55,0.64,0.64,0.64,0.64,0.64,0.64,0.75,0.83,1.00,9
A4-2012,5,0,0,0,0,0,0,0,0,2,97,85,104,189,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.07,1.00,0
A5-2012,8,0,1,0,0,0,0,0,3,2,60,115,74,189,0.11,0.11,0.12,0.12,0.12,0.12,0.12,0.12,0.16,0.19,1.00,0
A6-2012,3,3,0,0,0,0,0,0,0,0,52,131,58,189,0.05,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,0.10,1.00,0
B1-2012,174,9,0,0,0,0,0,0,3,2,0,1,188,189,0.93,0.97,0.97,0.97,0.97,0.97,0.97,0.97,0.99,1.00,1.00,10
B2-2012,84,14,12,0,0,0,0,0,20,17,20,22,167,189,0.50,0.59,0.66,0.66,0.66,0.66,0.66,0.66,0.78,0.88,1.00,10
B3-2012,44,2,3,0,0,0,0,0,4,21,48,61,122,183,0.36,0.38,0.40,0.40,0.40,0.40,0.40,0.40,0.43,0.61,1.00,1
B4-2012,25,3,0,0,0,0,0,0,3,1,95,62,127,189,0.20,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.24,0.25,1.00,0
B5-2012,2,0,1,0,0,0,0,0,0,1,18,167,22,189,0.09,0.09,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.18,1.00,0
B6-2012,15,0,0,0,0,0,0,0,3,10,33,128,61,189,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.30,0.46,1.00,0
A1-2013,184,3,5,0,0,0,0,0,5,0,3,1,200,201,0.92,0.94,0.96,0.96,0.96,0.96,0.96,0.96,0.99,0.99,1.00,10
A2-2013,153,20,8,0,0,0,0,0,2,1,9,8,193,201,0.79,0.90,0.94,0.94,0.94,0.94,0.94,0.94,0.95,0.95,1.00,10
A3-2013,61,15,9,0,0,0,0,0,1,6,53,56,145,201,0.42,0.52,0.59,0.59,0.59,0.59,0.59,0.59,0.59,0.63,1.00,9
A4-2013,53,8,5,0,0,0,0,0,4,4,41,86,115,201,0.46,0.53,0.57,0.57,0.57,0.57,0.57,0.57,0.61,0.64,1.00,9
A5-2013,5,6,2,0,0,0,0,0,1,0,41,146,55,201,0.09,0.20,0.24,0.24,0.24,0.24,0.24,0.24,0.25,0.25,1.00,0
A6-2013,1,2,0,0,0,0,0,0,1,2,33,162,39,201,0.03,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.10,0.15,1.00,0
B1-2013,166,13,3,0,0,0,0,0,6,1,10,2,199,201,0.83,0.90,0.91,0.91,0.91,0.91,0.91,0.91,0.94,0.95,1.00,10
B2-2013,80,3,1,0,0,0,0,0,23,0,22,72,129,201,0.62,0.64,0.65,0.65,0.65,0.65,0.65,0.65,0.83,0.83,1.00,10
B3-2013,115,16,3,0,0,0,0,0,11,4,38,14,187,201,0.61,0.70,0.72,0.72,0.72,0.72,0.72,0.72,0.78,0.80,1.00,10
B4-2013,11,1,0,0,0,0,0,0,1,0,68,120,81,201,0.14,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.16,0.16,1.00,0
B5-2013,13,0,2,0,0,0,0,0,4,1,76,105,96,201,0.14,0.14,0.16,0.16,0.16,0.16,0.16,0.16,0.20,0.21,1.00,0
B6-2013,0,0,0,0,0,0,0,0,1,5,29,166,35,201,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.17,1.00,0
A1-2014,129,33,11,0,0,0,0,0,13,2,2,0,190,190,0.68,0.85,0.91,0.91,0.91,0.91,0.91,0.91,0.98,0.99,1.00,10
A2-2014,154,18,3,0,0,0,0,0,3,0,11,1,189,190,0.81,0.91,0.93,0.93,0.93,0.93,0.93,0.93,0.94,0.94,1.00,10
A3-2014,95,10,5,0,0,0,0,0,1,46,4,29,161,190,0.59,0.65,0.68,0.68,0.68,0.68,0.68,0.68,0.69,0.98,1.00,10
A4-2014,64,6,2,0,0,0,0,0,1,1,61,55,135,190,0.47,0.52,0.53,0.53,0.53,0.53,0.53,0.53,0.54,0.55,1.00,9
A5-2014,0,0,0,0,0,0,0,0,0,6,79,105,85,190,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,1.00,0
A6-2014,3,2,2,0,0,0,0,0,1,0,31,151,39,190,0.08,0.13,0.18,0.18,0.18,0.18,0.18,0.18,0.21,0.21,1.00,0
B1-2014,131,36,6,0,0,0,0,0,12,0,5,0,190,190,0.69,0.88,0.91,0.91,0.91,0.91,0.91,0.91,0.97,0.97,1.00,10
B2-2014,91,5,0,0,0,0,0,0,0,59,18,17,173,190,0.53,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.90,1.00,10
B3-2014,86,22,11,0,0,0,0,0,6,5,39,21,169,190,0.51,0.64,0.70,0.70,0.70,0.70,0.70,0.70,0.74,0.77,1.00,10
B4-2014,14,4,3,0,0,0,0,0,2,10,41,116,74,190,0.19,0.24,0.28,0.28,0.28,0.28,0.28,0.28,0.31,0.45,1.00,0
B5-2014,3,0,0,0,0,0,0,0,2,21,35,129,61,190,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.43,1.00,0
B6-2014,1,1,0,0,0,0,0,0,1,3,37,147,43,190,0.02,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.07,0.14,1.00,0
A1-2015,165,17,7,0,0,0,0,0,3,0,5,2,197,199,0.84,0.92,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,1.00,10
A2-2015,109,8,3,0,0,0,0,0,12,2,45,20,179,199,0.61,0.65,0.67,0.67,0.67,0.67,0.67,0.67,0.74,0.75,1.00,10
A3-2015,99,22,1,0,0,0,0,0,13,6,23,35,164,199,0.60,0.74,0.74,0.74,0.74,0.74,0.74,0.74,0.82,0.86,1.00,10
A4-2015,52,21,4,0,0,0,0,0,15,20,33,54,145,199,0.36,0.50,0.53,0.53,0.53,0.53,0.53,0.53,0.63,0.77,1.00,9
A5-2015,13,1,6,0,0,0,0,0,22,4,26,127,72,199,0.18,0.19,0.28,0.28,0.28,0.28,0.28,0.28,0.58,0.64,1.00,2
A6-2015,4,3,1,0,0,0,0,0,2,0,53,136,63,199,0.06,0.11,0.13,0.13,0.13,0.13,0.13,0.13,0.16,0.16,1.00,0
B1-2015,61,27,7,0,0,0,0,0,41,32,10,21,178,199,0.34,0.49,0.53,0.53,0.53,0.53,0.53,0.53,0.76,0.94,1.00,8
B2-2015,62,10,3,0,0,0,0,0,3,8,60,53,146,199,0.42,0.49,0.51,0.51,0.51,0.51,0.51,0.51,0.53,0.59,1.00,8
B3-2015,32,1,6,0,0,0,0,0,18,6,81,55,144,199,0.22,0.23,0.27,0.27,0.27,0.27,0.27,0.27,0.40,0.44,1.00,0
B4-2015,70,10,3,0,0,0,0,0,5,17,39,55,144,199,0.49,0.56,0.58,0.58,0.58,0.58,0.58,0.58,0.61,0.73,1.00,9
B5-2015,16,8,4,0,0,0,0,0,7,8,30,126,73,199,0.22,0.33,0.38,0.38,0.38,0.38,0.38,0.38,0.48,0.59,1.00,1
B6-2015,0,0,3,0,0,0,0,0,1,0,27,168,31,199,0.00,0.00,0.10,0.10,0.10,0.10,0.10,0.10,0.13,0.13,1.00,0
A1-2016,123,55,1,0,0,0,0,0,3,0,5,0,187,187,0.66,0.95,0.96,0.96,0.96,0.96,0.96,0.96,0.97,0.97,1.00,10
A2-2016,49,66,49,0,0,0,0,0,13,7,3,0,187,187,0.26,0.61,0.88,0.88,0.88,0.88,0.88,0.88,0.95,0.98,1.00,9
A3-2016,15,6,47,0,0,0,0,0,12,37,45,25,162,187,0.09,0.13,0.42,0.42,0.42,0.42,0.42,0.42,0.49,0.72,1.00,1
A4-2016,45,16,4,0,0,0,0,0,12,5,31,74,113,187,0.40,0.54,0.58,0.58,0.58,0.58,0.58,0.58,0.68,0.73,1.00,9
A5-2016,28,4,1,0,0,0,0,0,10,8,27,109,78,187,0.36,0.41,0.42,0.42,0.42,0.42,0.42,0.42,0.55,0.65,1.00,2
A6-2016,2,0,0,0,0,0,0,0,1,1,69,114,73,187,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.05,1.00,0
B1-2016,110,18,22,0,0,0,0,0,17,8,10,2,185,187,0.59,0.69,0.81,0.81,0.81,0.81,0.81,0.81,0.90,0.95,1.00,10
B2-2016,94,18,39,0,0,0,0,0,23,8,5,0,187,187,0.50,0.60,0.81,0.81,0.81,0.81,0.81,0.81,0.93,0.97,1.00,10
B3-2016,28,124,13,0,0,0,0,0,3,1,6,12,175,187,0.16,0.87,0.94,0.94,0.94,0.94,0.94,0.94,0.96,0.97,1.00,9
B4-2016,62,32,16,0,0,0,0,0,3,9,27,38,149,187,0.42,0.63,0.74,0.74,0.74,0.74,0.74,0.74,0.76,0.82,1.00,9
B5-2016,21,12,5,0,0,0,0,0,6,5,62,76,111,187,0.19,0.30,0.34,0.34,0.34,0.34,0.34,0.34,0.40,0.44,1.00,0
B6-2016,20,11,7,0,0,0,0,0,4,2,35,108,79,187,0.25,0.39,0.48,0.48,0.48,0.48,0.48,0.48,0.53,0.56,1.00,2
